qs_ranking,Institution,Focus,Location,Continent,Year_established,private_public,Type,strategy_start,strategy_end,filename,PDF
302,Virginia Polytechnic Institute and State University,FC,United States,North america,1872,public,All,2023,2023,The Virginia Tech,Yes
304,Jagiellonian University,FC,Poland,Europe,1364,public,All,2023,2030,Jagiellonian University,Yes
306,University of Johannesburg,CO,South Africa,Africa,2005,public,All,2020,2025,University of Johannesburg,Yes
307,Swansea University,FC,United Kingdom,Europe,1920,public,All,2020,2024,Swansea University,Yes
310,Universitat Pompeu Fabra (Barcelona),FO,Spain,Europe,1990,public,All,2016,2025,  Pompeu Fabra University ,No
310,Hamad Bin Khalifa University,FO,Qatar,Asia,2010,public,All,2016,2026,hbku,Yes
312,Universit‰t Stuttgart,CO,Germany,Europe,1829,public,All,2016,2016,university of stuttgart,Yes
323,University of Pretoria,FC,South Africa,Africa,1930,public,All,2011,2025,University of Pretoria,Yes
326,University of Southern Denmark (SDU),CO,Denmark,Europe,1998,public,All,2022,2026,University of Southern Denmark (SDU),Yes
326,University of South Australia,CO,Australia,Oceania,1991,public,All,2018,2025,University of South Australia,Yes
328,USI - Universit√† della Svizzera italiana,FO,Switzerland,Europe,1996,public,All,2021,2024,USI - Universita† della Svizzera italiana,Yes
332,"University of California, Santa Cruz",CO,United States,North America,1965,public,All,2023,2025,"University of California, Santa Cruz",Yes
336,Aalborg University,FC,Denmark,Europe,1974,public,All,2016,2021,Aalborg University,Yes
336,Middle East Technical University,CO,Turkey,Asia,1956,public,All,2023,2027,Middle East Technical University,Yes
336,University of Kent,CO,United Kingdom,Europe,1965,public,All,2023,2025,University of Kent,Yes
349,Universidad Polit√©cnica de Madrid (UPM),SP,Spain,Europe,1971,public,All,2022,2022,UNIVERSIDAD POLIT…CNICA DE MADRID,Yes
351,Lappeenranta-Lahti University of Technology LUT,SP,Finland,Europe,1969,public,All,2024,2030,LUT University,No
351,University of Coimbra,FC,Portugal,Europe,1290,public,All,2019,2023,University of Coimbra,Yes
353,York University,CO,Canada,North America,1959,public,All,2023,2028,York University,Yes
355,L.N. Gumilyov Eurasian National University (ENU),FO,Kazakhstan,Asia,1996,public,All,2020,2020,L.N. Gumilyov Eurasian National University (ENU),Yes
364,American University of Sharjah,CO,United Arab Emirates,Asia,1997,private,All,2018,2022,American University of Sharjah,Yes
364,Indian Institute of Technology Guwahati (IITG),CO,India,Asia,1994,public,All,2022,2023,Indian Institute of Technology Guwahati (IITG),Yes
367,National University of Sciences And Technology (NUST) Islamabad,CO,Pakistan,Asia,1991,public,Science and technology,2019,2023,National University of Sciences And Technology (NUST) Islamabad,Yes
368,University of Cyprus (UCY),CO,North cyprus,Cyrups,1989,public,All,2021,2025,University of Cyprus (UCY),Yes
369,Indian Institute of Technology Roorkee (IITR),FO,India,Asia,1847,public,"Engineering, technology, and sciences",2023,2023,Indian Institute of Technology Roorkee (IITR),Yes
371,Cairo University,FC,Egypt,Africa,1908,public,All,2021,2021,Cairo University,Yes
371,Tilburg University,FO,Netherlands,Europe,1927,public,All,2021,2027,Tilburg University,Yes
374,"Birkbeck, University of London",FO,United Kingdom,Europe,1920,public,All,2021,2026,"Birkbeck, University of London",No
375,Northeastern University,CO,United States,North America,1898,private,All,2015,2019,Northeastern University,Yes
375,Western sydney university,AU,Australia,Oceania,1989,public,All,2021,2026,Western sydney university,No
380,Flinders University,FC,Australia,Oceania,1966,public,All,2023,2025,Flinders University,Yes
381,University of Luxembourg,CO,Luxembourg,Europe,2003,public,All,2023,2023,University of Luxembourg,No
382,Mahidol University,FC,Thailand,Asia,1888,public,All,2023,2027,Mahidol University,Yes
382,UniversitÈ de Montpellier,FO,France,Europe,1289,public,All,2022,2024,UniversitÈ de Montpellier,No
387,Belarusian State University,FO,Belarus,Europe,1921,public,All,2011,2015,Belarusian State University,Yes
392,Institut National des Sciences Appliqu√©es de Lyon (INSA),FO,France,Europe,1957,public,All,2023,2023,Institut National des Sciences Appliqu√©es de Lyon (INSA),Yes
392,South China University of Technology,CO,China (Mainland),Asia,1952,public,All,2023,2023,South China University of Technology,Yes
396,Justus-Liebig-University Giessen,FC,Germany,Europe,1607,public,All,2024,2025,Justus-Liebig-University Giessen,Yes
399,HSE University,FO,Russia,Europe,1992,public,All,2020,2024,HSE University,Yes
400,Iowa State University,CO,United states,North America,1858,public,All,2022,2031,Iowa State University,Yes
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
