qs_ranking,institution,focus,location,continent,year_established,private_public,type,strategy_start,strategy_end,filename,pdf
1,Massachusetts Institute of Technology (MIT) ,CO,United States,North America,1861,private,technological,2022,,MIT-Strategic-Action-Plan,1
2,University of Cambridge,FC,United Kingdom,Europe,1209,public,all streams,,,University-Cambridge-Mission-Vision,0
3,University of Oxford,FC,United Kingdom,Europe,1096,public,all streams,2018,2024,Oxford-Strategic-Plan-2018-24,1
7,ETH Zurich - Swiss Federal Institute of Technology,FO,Switzerland,Europe,1855,public,technological,2021,2024,ETH_SEP_21-24_EN_Web,1
8,National University of Singapore (NUS),FC,Singapore,Asia,1980,public,all streams,2019,2024,nus-global-strategy-2019,1
12,University of Pennsylvania,FC,United States,North America,1740,private,all streams,2023,,iPaP,1
17,Princeton University,CO,United States,North America,1746,private,all streams,2016,,princetonstrategicplanframework2016,1
19,The University of Sydney,FC,Australia,Oceania,1850,public,all streams,2023,2032,strategic-plan-2032-final,1
25,Tsinghua University,FC,China (Mainland),Asia,1911,public,all streams,,,,
26,"Nanyang Technological University, Singapore (NTU)",FC,Singapore,Asia,1981,public,technological,2021,2025,ntu-2025-strategy,1
26,The University of Hong Kong,FC,Hong Kong SAR,Asia,1887,public,all streams,2016,2025,University-Hong-Kong-2016-2025,0
34,University of British Columbia,FC,Canada,North America,1908,public,all streams,2018,2028,2018_UBC_Strategic_Plan_Full-20180425,1
36,EPFL,FO,Switzerland,Europe,1969,public,technological,2021,2024,LEX-1.1.11,1
37,Technical University of Munich,FO,Germany,Europe,1868,public,technological,2021,2030,TUM-Agenda_2030,1
46,Kyoto University,FC,Japan,Asia,1897,public,all streams,,,Kyoto-University_Operations-and-future-plans,0
47,Delft University of Technology,CO,Netherlands,Europe,1842,public,technological,2022,2024,TU-Delft-Strategic-Priorities-2022-EN-200x200mm-v10 web,1
47,The Chinese University of Hong Kong (CUHK),FC,Hong Kong SAR,Asia,1963,public,all streams,2021,2025,strategic-plan-brochure-e,1
53,University of Amsterdam,FC,Netherlands,Europe,1632,public,all streams,2021,2026,inspiring-generation-uva-strategic-plan-uva-2021-2026,1
54,Ludwig-Maximilians-University Munich,FC,Germany,Europe,1472,public,all streams,,,LMU-University-of-Excellence,0
56,KAIST - Korea Advanced Institute of Science & Technology,CO,South Korea,Asia,1971,public,technological,2018,2031,KAIST-Vision2031,1
59,Sorbonne University,FC,France,Europe,1257,public,all streams,2019,2024,Sorbonne-Strategic-Plan,0
61,KU Leuven,FC,Belgium,Europe,1425,private,all streams,2021,2025,KU-Leuven-Mission_Strategy,0
65,Universiti Malaya (UM),FC,Malaysia,Asia,1905,public,all streams,2021,2025,Pelan-Strategik-UM-2021-2025,1
68,The University of Auckland,FC,New Zealand,Oceania,1883,public,all streams,2020,2030,taumata-teitei-vision-2030-and-strategic-plan-2025,1
69,National Taiwan University (NTU),FC,Taiwan,Asia,1928,public,all streams,,,National-Taiwan-University-ORD,0
70,City University of Hong Kong,CO,Hong Kong SAR,Asia,1984,public,all streams,2020,2025,SP_Booklet,1
71,Université Paris-Saclay,CO,France,Europe,2019,public,all streams,2023,,universite_paris-saclay_scientific_framework,1
73,Brown University,FC,United States,North America,1764,private,all streams,2013,2023,BuildingOnDistinctionOct262013,1
73,KTH Royal Institute of Technology ,CO,Sweden,Europe,1827,public,technological,2024,2028,KTH_Vision_Mal_EN,1
79,Korea University,FC,South Korea,Asia,1905,private,all streams,2020,2021,Korea_University_SDG,1
80,Osaka University,FC,Japan,Asia,1724,public,all streams,2021,,Osaka-University-Vision-2021,0
81,"Trinity College Dublin, The University of Dublin",FC,Ireland,Europe,1592,public,all streams,2020,2025,trinity-strategy,1
84,University of Birmingham,FC,United Kingdom,Europe,1825,public,all streams,2020,2030,birmingham-2030-strategic-framework-accessible,1
85,Lund University,FC,Sweden,Europe,1666,public,all streams,2017,2026,Lund-University_strategic-plan,0
85,Universidade de Sao Paulo,FC,Brazil,South America,1934,public,all streams,,,,
87,Lomonosov Moscow State University,FC,Russia,Europe,1755,public,all streams,,,,
87,Ruprecht-Karls-University Heidelberg,FO,Germany,Europe,1386,public,all streams,2022,2026,Heidelberg-University-Strategic-Growth-Action-Plan-2022-2026,1
91,Tokyo Institute of Technology (Tokyo Tech),CO,Japan,Asia,1881,public,technological,2018,2023,Tokyo-Tech-strategic-plan-2018,0
91,University of Zurich,FC,Switzerland,Asia,1833,public,all streams,2019,,UZH_Strategic_Principles,1
93,Universidad Nacional Autonoma de Mexico (UNAM),FC,Mexico,North America,1551,public,all streams,,,,
95,University of St Andrews,FO,United Kingdom,Europe,1413,public,all streams,2022,2027,university-strategy-2022-2027,1
95,Universidad de Buenos Aires (UBA),FC,Argentina,South America,1821,public,all streams,,,,
97,Georgia Institute of Technology,,United States,North America,1885,public,technological,2020,2030,georgia-tech-strategic-plan-2020-2030,1
98,Freie Universitaet Berlin,FC,Germany,Europe,1948,public,all streams,2021,2025,Strategiepapier_FU_2025_deutsch_english_final_korr,1
100,Pohang University of Science And Technology (POSTECH),FO,South Korea,Asia,1986,private,technological,2019,,POSTECH-Vision,0
