qs_ranking,institution,focus,location,continent,year_established,private_public,type,strategy_start,strategy_end,filename,pdf
505,Macau University of Science and Technology,CO,Macau SAR,Asia,1950,Public,all streams,2021,2025,Macau University of Science and Technology.txt,0
505,Università Cattolica del Sacro Cuore,FO,Italy,Europe,1920,Private,all streams,2023,2025,Universita� Sacro Cuore.txt,1
505,Oregon State University,CO,United States,North America,1900,Public,all streams,2024,2030,Oregon State University.txt,1
511,SOAS University of London ,SP,United Kingdom,Europe,1920,Private,all streams,2021,2025,SOAS University of London.txt,1
514,Duy Tan University,CO,Vietnam,Asia,1950,Public,all streams,2021,2025,Duy Tan University.txt,0
524,The University of Georgia,FC,United States,North America,1900,Public,all streams,2024,2025,The University of Georgia.txt,1
520,Kyungpook National University,FC,South Korea,Asia,1946,Public,all streams,2024,2025,Kyungpook National University.txt,0
525,Universiti Teknologi Brunei,FO,Brunei,Asia,1986,Public,technological,2024,2028,Universiti Teknologi Brunei.txt,1
526,Sabanci University,CO,Turkey,Asia,1999,Private,all streams,2023,2028,Sabanci University.txt,0
526,University of Madras,CO,India,Asia,1857,Public,all streams,2023,2024,University of Madras.txt,1
530,University of Genoa,FC,Italy,Europe,1920,Private,all streams,2022,2026,University of Genoa.txt,1
534,China Agricultural University ,FC,China (Mainland),Asia,1905,Public,all streams,2023,2024,China Agricultural University .txt,0
534,University of Crete,FC,Greece,Europe,1973,Public,all streams,2018,2025,University of Crete.txt,1
540,Lahore University of Management Sciences (LUMS),CO,Pakistan,Asia,1984,Private,Business,2022,2024,Lahore University of Management Sciences (LUMS).txt,1
540,Universidad Nacional de La Plata (UNLP),FC,Argentina,South America,1897,Public,all streams,2022,2026,Universidad Nacional de La Plata (UNLP).txt,1
542,University Ulm,FO,Germany,Europe,1967,Public,technological,2022,2027,University Ulm.txt,1
544,Universidad de Costa Rica,CO,Costa Rica,North America,1940,Public,all streams,2021,2025,Universidad de Costa Rica.txt,1
545,Singapore Management University,SP,Singapore,Asia,2000,Public,Business,2020,2025,Singapore Management University.txt,1
523,University of Hull,FC,United Kingdom,Europe,1927,Public,all streams,2023,2030,University of Hull.txt,1
548,University of Eastern Finland,CO,Finland,Europe,2010,Public,all streams,2023,2030,University of Eastern Finland.txt,1
551,Hasselt University ,FO,Belgium,Europe,1971,Public,technological,2022,2026,Hasselt University.txt,1
551,Canadian University Dubai,FO,United Arab Emirates,Asia,2006,Private,all streams,2023,2024,Canadian University Dubai,0
556,Renmin (People's) University of China,FO,China (Mainland),Asia,1937,Public,all streams,2023,2024,Renmin (People's) University of China.txt,0
556,INTI International University,FO,Malaysia,Asia,1986,Private,all streams,2023,2024,INTI International University.txt,0
556,"University of Chemistry and Technology, Prague",FO,Czech Republic,Europe,1952,Public,technological,2021,2024,"University of Chemistry and Technology, Prague.txt",1
563,Université de Fribourg,CO,Switzerland,Europe,1889,Public,all streams,2023,2030,Universite_ de Fribourg.txt,1
567,Bond University,FO,Australia,Australia,1889,Private,all streams,2023,2027,Bond University.txt,1
567,University of Huddersfield,CO,United Kingdom,Europe,1825,Public,all streams,2023,2025,University of Huddersfield.txt,1
567,Universidad Adolfo Ibáñez,FO,Chile,South America,1953,Private,Business,2023,2024,Universidad Adolfo Iba_�ez.txt,1
571,Warsaw University of Technology,FO,Poland,Europe,1826,Public,technological,2023,2030,Warsaw University of Technology.txt,1
571,Indian Institute of Technology (BHU) Varanasi,FO,India,Asia,1919,Public,technological,2023,2024,Indian Institute of Technology (BHU) Varanasi.txt,0
575,HUFS - Hankuk (Korea) University of Foreign Studies ,CO,South Korea,Asia,1954,Private,all streams,2023,2024,HUFS - Hankuk (Korea) University of Foreign Studies.txt ,0
580,University of Klagenfurt,FO,Austria,Europe,1970,Public,all streams,2023,2024,University of Klagenfurt.txt,0
582,Applied Science University - Bahrain,FO,Bahrain,Asia,2004,Private,all streams,2020,2025,Applied Science University - Bahrain.txt,1
582,Universidad Católica Andres Bello,FO,Venezuela,South America,1953,Private,all streams,2023,2024,Andre_s Bello Catholic University.txt,1
582,Universidad Pontificia Comillas,FO,Spain,Europe,1890,Private,all streams,2023,2024,Universidad Pontificia Comillas.txt,1
586,"University of Missouri, Columbia",FC,United States,North America,1839,Public,all streams,2023,2024,"University of Missouri, Columbia.txt",1
590,Prince Mohammad Bin Fahd university,SP,Saudi Arabia,North America,2006,Private,all streams,2017,2024,Prince Mohammad Bin Fahd university.txt,1
595,Università Vita-Salute San Raffaele,SP,Italy,Europe,1996,Private,all streams,2019,2022,Università Vita-Salute San Raffaele.txt,1
600,Universität des Saarlandes,FC,Germany,Europe,1948,Public,all streams,2023,2030,Saarland UniversityUniversität des Saarlandes.txt,1
